         232641244 function calls (232621006 primitive calls) in 406.605 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.025    0.025    0.025    0.025 {built-in method _winapi.CreateProcess}
    24030    0.025    0.000    0.032    0.000 random.py:237(_randbelow_with_getrandbits)
1287/1075    0.024    0.000    1.291    0.001 <frozen importlib._bootstrap>:901(_find_spec)
  138/112    0.023    0.000    0.130    0.001 {built-in method _imp.exec_dynamic}
     1094    0.023    0.000    0.023    0.000 {method '__exit__' of '_io._IOBase' objects}
     1089    0.022    0.000    0.660    0.001 <frozen importlib._bootstrap_external>:916(get_code)
    24001    0.021    0.000    0.081    0.000 convert.py:446(<genexpr>)
        1    0.021    0.021    0.023    0.023 core.py:402(ParserElement)
        1    0.020    0.020    0.131    0.131 random_graphs.py:235(gnm_random_graph)
  571/125    0.020    0.000    0.055    0.000 sre_parse.py:493(_parse)
    24030    0.018    0.000    0.053    0.000 random.py:343(choice)
   1305/4    0.016    0.000    2.660    0.665 <frozen importlib._bootstrap>:1002(_find_and_load)
      384    0.016    0.000    0.026    0.000 doccer.py:177(indentcount_lines)
    92304    0.016    0.000    0.016    0.000 {method 'update' of 'dict' objects}
    17973    0.013    0.000    0.014    0.000 {built-in method builtins.getattr}
     2178    0.013    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
     1465    0.011    0.000    0.027    0.000 version.py:261(__init__)
    34853    0.011    0.000    0.011    0.000 {method 'endswith' of 'str' objects}
    27650    0.011    0.000    0.011    0.000 {method 'startswith' of 'str' objects}
    14806    0.011    0.000    0.011    0.000 sre_parse.py:233(__next)
     2383    0.010    0.000    0.021    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
     8430    0.010    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
20944/20846    0.010    0.000    0.080    0.000 {method 'join' of 'str' objects}
      114    0.010    0.000    8.989    0.079 __init__.py:1(<module>)
     8789    0.010    0.000    0.010    0.000 {method 'splitlines' of 'str' objects}
   1259/6    0.010    0.000    2.649    0.442 <frozen importlib._bootstrap>:659(_load_unlocked)
